Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,FlowDefinition,AssociatedRecordId,Description,Type,ProgressStatus,ScheduledStartDate,ErrorCode,ErrorDetails
2aFdM000000qXUXUA2,False,Orchestration flow for Recurrence Scheduler,1720590741000,005dM000004WWvKQAW,1720590741000,005dM000004WWvKQAW,1720590741000,,,,,,Scheduled,InProgress,,,
2aFdM000000qXUYUA2,False,Reset Password,1720590741000,005dM000004WWvKQAW,1720590741000,005dM000004WWvKQAW,1720590741000,,,,,,,InProgress,,,
2aFdM000000qXUZUA2,False,CMS: Submit Content for Review,1720590741000,005dM000004WWvKQAW,1720590741000,005dM000004WWvKQAW,1720590741000,,,,,"Allows a content author to conditionally view a reviewer's feedback, provide revision comments, and submit a content variant for review.",,InProgress,,,
2aFdM000000qXUaUAM,False,Close Change Request & Related Issues,1720590741000,005dM000004WWvKQAW,1720590741000,005dM000004WWvKQAW,1720590741000,,,,,"Closes a Change Request and attempts to close its related Incidents, Problems, and Cases.",,Draft,,,
2aFdM000000qXUbUAM,False,Return Item Flow,1720590741000,005dM000004WWvKQAW,1720590741000,005dM000004WWvKQAW,1720590741000,,,,,Order Management: Return order items after fulfillment.,,Draft,,,
2aFdM000000qXUcUAM,False,Create Order Summary Flow,1720590741000,005dM000004WWvKQAW,1720590741000,005dM000004WWvKQAW,1720590741000,,,,,Order Management: Create an Order Summary record from an order.,RecordAfterSave,Draft,,,
2aFdM000000qXUdUAM,False,CMS: Withdraw Review Request,1720590741000,005dM000004WWvKQAW,1720590741000,005dM000004WWvKQAW,1720590741000,,,,,Allows a content author to withdraw a review request in order to make changes to the underlying content variant.,,InProgress,,,
2aFdM000000qXUeUAM,False,CMS: Review Content,1720590741000,005dM000004WWvKQAW,1720590741000,005dM000004WWvKQAW,1720590741000,,,,,"Allows a content manager to conditionally view a content author's feedback, provide revision comments, and approve or request revisions of a content variant.",,InProgress,,,
2aFdM000000qXUfUAM,False,Create a Case,1720590742000,005dM000004WWvKQAW,1720590742000,005dM000004WWvKQAW,1720590742000,,,,,,,InProgress,,,
2aFdM000000qXUgUAM,False,CMS: Notify Content Author,1720590742000,005dM000004WWvKQAW,1720590742000,005dM000004WWvKQAW,1720590742000,,,,,"Notifies the content author that their content variant has been approved, and allows the content author to conditionally view the final feedback for the content variant.",,InProgress,,,
2aFdM000000qXUhUAM,False,Generate Payment Link,1720590742000,005dM000004WWvKQAW,1720590742000,005dM000004WWvKQAW,1720590742000,,,,,,,InProgress,,,
2aFdM000000qXUiUAM,False,Recurrence Schedule Flow,1720590742000,005dM000004WWvKQAW,1720590742000,005dM000004WWvKQAW,1720590742000,,,,,Flow for creating object items from Recurrence Scheduler Records,,InProgress,,,
2aFdM000000qXUjUAM,False,Basic Approval Request,1720590742000,005dM000004WWvKQAW,1720590742000,005dM000004WWvKQAW,1720590742000,,,,,"Allows a content author to submit a content variant for content manager review, and allows for content variant revisions before the content manager approves for publication.",,InProgress,,,
2aFdM000000qXUkUAM,False,Change Case Owner to Incident Owner,1720590742000,005dM000004WWvKQAW,1720590742000,005dM000004WWvKQAW,1720590742000,,,,,"When Cases are identified as part of an Incident, change the Case owner to the Incident owner.",,Draft,,,
2aFdM000000qXUlUAM,False,Verify Identity,1720590742000,005dM000004WWvKQAW,1720590742000,005dM000004WWvKQAW,1720590742000,,,,,,,InProgress,,,
2aFdM000000qXUmUAM,False,Create Process Exception Flow,1720590742000,005dM000004WWvKQAW,1720590742000,005dM000004WWvKQAW,1720590742000,,,,,Create a process exception record from a process exception event.,PlatformEvent,Draft,,,
2aFdM000000qXUnUAM,False,Cancel Item Flow,1720590742000,005dM000004WWvKQAW,1720590742000,005dM000004WWvKQAW,1720590742000,,,,,Order Management: Cancel order items before fulfillment.,,Draft,,,
2aFdM000000qXUoUAM,False,Find Contact Associated with Messaging Session,1720590742000,005dM000004WWvKQAW,1720590742000,005dM000004WWvKQAW,1720590742000,,,,,Gets a contact record associated with the messaging user from a specified messaging session.,,InProgress,,,
2aFdM000000qXUpUAM,False,CMS: Check Whether Any Step is Completed,1720590742000,005dM000004WWvKQAW,1720590742000,005dM000004WWvKQAW,1720590742000,,,,,Determines whether either of two specified steps in a stage has completed.,,InProgress,,,
2aFdM000000qaqbUAA,False,Create Property,1720591805000,005dM000004WE3FQAW,1720591814000,005dM000004WE3FQAW,1720591814000,,,300dM00000DMODu,,This flow helps agents creating new properties in just a few clicks. It calculates the geocoded address calling out to a 3rd party service.,,InProgress,1720591814000.0,,
2aFdM000001IXKPUA4,False,Update Status,1721718361000,005dM000004WE3FQAW,1721718368000,005dM000004WE3FQAW,1721718368000,1721718368000.0,1721718368000.0,300dM00000H2zmI,,,RecordBeforeSave,InProgress,1721718368000.0,,
2aFdM000001ata5UAA,False,Variables,1722838950000,005dM000004WE3FQAW,1722839020000,005dM000004WE3FQAW,1722839020000,1722839020000.0,1722839020000.0,300dM00000IjD5C,,,,Draft,,,
