Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,IsCompanyWide,Description,ImageUrl,IsActive,LimitNumber,IsLimitPerUser,LimitStartDate,GivenBadgeCount,IsRewardBadge
0W1dM000001zL6zSAE,005dM000004WE3FQAW,False,All About Execution,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,True,"Like the mailman, you deliver!",https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/img/rypple/Execution.png,True,,False,,,False
0W1dM000001zL70SAE,005dM000004WE3FQAW,False,Thanks,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,True,Thank you for going above and beyond to contribute to our success!,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/img/rypple/Thanks.png,True,,False,,,False
0W1dM000001zL71SAE,005dM000004WE3FQAW,False,You're a RockStar!,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,True,Great job - you rocked it!,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/img/rypple/RockStar.png,True,,False,,,False
0W1dM000001zL72SAE,005dM000004WE3FQAW,False,Team Player,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,True,Success is a team sport. Thanks for playing!,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/img/rypple/Team.png,True,,False,,,False
0W1dM000001zL73SAE,005dM000004WE3FQAW,False,Teacher,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,True,For sharing your knowledge,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/img/rypple/Teacher.png,True,,False,,,False
0W1dM000001zL74SAE,005dM000004WE3FQAW,False,Top Performer,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,True,For crushing your numbers!,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/img/rypple/Sales.png,True,,False,,,False
0W1dM000001zL75SAE,005dM000004WE3FQAW,False,Hot Lead,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,True,Thank you for your hot lead!,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/img/rypple/Lead.png,True,,False,,,False
0W1dM000001zL76SAE,005dM000004WE3FQAW,False,Key Win,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,True,Great job on winning a great deal for the company!,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/img/rypple/KeyWin.png,True,,False,,,False
0W1dM000001zL77SAE,005dM000004WE3FQAW,False,Customer Hero,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,True,The customer is always #1,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/img/rypple/Customer.png,True,,False,,,False
0W1dM000001zL78SAE,005dM000004WE3FQAW,False,Competition Crusher,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,True,You're crushing the competition,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/img/rypple/Competition.png,True,,False,,,False
0W1dM000001zL79SAE,005dM000004WE3FQAW,False,Deal Maker,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,True,Always be closing!,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/img/rypple/DealMaker.png,True,,False,,,False
0W1dM000001zL7ASAU,005dM000004WE3FQAW,False,Gold Star,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,,True,Sealing a great job with a gold star.,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/img/rypple/GoldStar.png,True,,False,,,False
